DATE,SID.TIME,SUN,SUN_P,MOON,MOON_P,MERCURY,MERCURY_P,VENUS,VENUS_P,MARS,MARS_P,JUPITER,JUPITER_P,SATURN,SATURN_P,URANUS,URANUS_P,NEPTUNE,NEPTUNE_P,PLUTO,PLUTO_P,NODE,NODE_P
04/10/2019,13:11:46,19 51,Mesha,14 39,Mithuna,22 16,Meena,17 06,Meena,06 26,Mithuna,24 21,Dhanush,20 12,Makara,01 47,Vrushabha,17 24,Meena,23 06,Makara,22 19,CN
04/11/2019,13:15:42,20 50,Mesha,28 01,Mithuna,23 12,Meena,18 18,Meena,07 06,Mithuna,24 21,Dhanush,20 13,Makara,01 51,Vrushabha,17 26,Meena,23 06,Makara,22 16,CN
04/12/2019,13:19:39,21 48,Mesha,11 36,Karaka,24 10,Meena,19 31,Meena,07 45,Mithuna,24 21,Dhanush,20 15,Makara,01 54,Vrushabha,17 28,Meena,23 07,Makara,22 13,CN
04/13/2019,13:23:35,22 47,Mesha,25 25,Karaka,25 11,Meena,20 43,Meena,08 24,Mithuna,24 21,Dhanush,20 17,Makara,01 57,Vrushabha,17 30,Meena,23 07,Makara,22 10,CN
04/14/2019,13:27:32,23 46,Mesha,09 30,Simha,26 15,Meena,21 56,Meena,09 04,Mithuna,24 20,Dhanush,20 19,Makara,02 01,Vrushabha,17 32,Meena,23 07,Makara,22 07,CN
04/15/2019,13:31:28,24 45,Mesha,23 49,Simha,27 22,Meena,23 08,Meena,09 43,Mithuna,24 19,Dhanush,20 20,Makara,02 04,Vrushabha,17 34,Meena,23 08,Makara,22 04,CN
04/16/2019,13:35:25,25 44,Mesha,08 21,Kanya,28 30,Meena,24 21,Meena,10 23,Mithuna,24 18,Dhanush,20 22,Makara,02 08,Vrushabha,17 36,Meena,23 08,Makara,22 00,CN
04/17/2019,13:39:21,26 42,Mesha,23 01,Kanya,29 42,Meena,25 33,Meena,11 02,Mithuna,24 17,Dhanush,20 23,Makara,02 11,Vrushabha,17 38,Meena,23 08,Makara,21 57,CN
04/18/2019,13:43:18,27 41,Mesha,07 44,Tula,00 55,Mesha,26 46,Meena,11 41,Mithuna,24 16,Dhanush,20 24,Makara,02 14,Vrushabha,17 39,Meena,23 08,Makara,21 54,CN
04/19/2019,13:47:15,28 40,Mesha,22 21,Tula,02 11,Mesha,27 58,Meena,12 21,Mithuna,24 15,Dhanush,20 25,Makara,02 18,Vrushabha,17 41,Meena,23 09,Makara,21 51,CN
04/20/2019,13:51:11,29 38,Mesha,06 45,Vruschika,03 29,Mesha,29 11,Meena,13 00,Mithuna,24 13,Dhanush,20 26,Makara,02 21,Vrushabha,17 43,Meena,23 09,Makara,21 48,CN
04/21/2019,13:55:08,00 37,Vrushabha,20 50,Vruschika,04 49,Mesha,00 24,Mesha,13 39,Mithuna,24 11,Dhanush,20 27,Makara,02 25,Vrushabha,17 45,Meena,23 09,Makara,21 44,CN
04/22/2019,13:59:04,01 35,Vrushabha,04 31,Dhanush,06 11,Mesha,01 36,Mesha,14 19,Mithuna,24 09,Dhanush,20 28,Makara,02 28,Vrushabha,17 47,Meena,23 09,Makara,21 41,CN
04/23/2019,14:03:01,02 34,Vrushabha,17 46,Dhanush,07 35,Mesha,02 49,Mesha,14 58,Mithuna,24 07,Dhanush,20 29,Makara,02 32,Vrushabha,17 48,Meena,23 09,Makara,21 38,CN
04/24/2019,14:06:57,03 32,Vrushabha,00 36,Makara,09 01,Mesha,04 02,Mesha,15 37,Mithuna,24 05,Dhanush,20 29,Makara,02 35,Vrushabha,17 50,Meena,23 09,Makara,21 35,CN
04/25/2019,14:10:54,04 31,Vrushabha,13 05,Makara,10 28,Mesha,05 14,Mesha,16 16,Mithuna,24 02,Dhanush,20 30,Makara,02 39,Vrushabha,17 52,Meena,23 09,Makara,21 32,CN
04/26/2019,14:14:50,05 29,Vrushabha,25 15,Makara,11 58,Mesha,06 27,Mesha,16 55,Mithuna,23 59,Dhanush,20 30,Makara,02 42,Vrushabha,17 54,Meena,23 09,Makara,21 29,CN
04/27/2019,14:18:47,06 28,Vrushabha,07 13,Kumbha,13 30,Mesha,07 40,Mesha,17 35,Mithuna,23 56,Dhanush,20 31,Makara,02 45,Vrushabha,17 55,Meena,23 09,Makara,21 25,CN
